MSNO,total_dur,PostalCode
40797,750.0,530943
40797,750.0,530943
40797,750.0,530943
40797,750.0,530943
40798,780.0,530129
40798,780.0,530129
40803,1920.0,531473
40803,1920.0,531473
40807,360.0,533476
40823,240.0,823673
40851,780.0,821102
40851,780.0,821102
40851,780.0,821102
40851,780.0,821102
40851,780.0,821102
40893,420.0,543335
40893,420.0,543335
40911,600.0,542333
40921,660.0,541290
40921,660.0,541290
40934,720.0,543259
40940,120.0,541298
40943,240.0,542223
40945,2040.0,540232
40945,2040.0,540232
40948,240.0,791404
40948,240.0,791404
40948,240.0,791404
40948,240.0,791404
40950,420.0,792413
40950,420.0,792413
40951,420.0,792415
40951,420.0,792415
40957,840.0,792470
40957,840.0,792470
40960,240.0,792410
40966,240.0,793446
40968,720.0,540153
40970,240.0,543158
40970,240.0,543158
40970,240.0,543158
40972,240.0,541163
40972,240.0,541163
40986,720.0,540114
40987,360.0,540114
40995,540.0,792452
40995,540.0,792452
41024,240.0,550148
41027,540.0,550547
41027,540.0,550547
41028,120.0,550548
41028,120.0,550548
41028,120.0,550548
41029,5760.0,550554
41029,5760.0,550554
41029,5760.0,550554
41032,420.0,550536
41032,420.0,550536
41043,480.0,750492
41046,300.0,751132
41046,300.0,751132
41056,600.0,752129
41071,615.0,751463
41071,615.0,751463
41073,90.0,750480
41073,90.0,750480
41073,90.0,750480
41074,180.0,750480
41074,180.0,750480
41074,180.0,750480
41076,600.0,751501
41081,1920.0,730002
41093,3600.0,730139
41102,120.0,730616
41102,120.0,730616
41117,2800.0,730744
41118,450.0,730749
41118,450.0,730749
41118,450.0,730749
41126,180.0,730511
41126,180.0,730511
41126,180.0,730511
41126,180.0,730511
41129,45.0,730536
41131,180.0,730542
41131,180.0,730542
41133,540.0,732574
41141,900.0,733886
41141,900.0,733886
41141,900.0,733886
41146,150.0,730899
41149,180.0,730769
41155,6000.0,731717
41156,420.0,730672
41156,420.0,730672
41156,420.0,730672
41163,420.0,730607
41164,150.0,730609
41180,360.0,731184
41185,285.0,730406
41185,285.0,730406
41186,240.0,730406
41194,135.0,764348
41194,135.0,764348
41201,900.0,760458
41201,900.0,760458
41201,900.0,760458
41201,900.0,760458
41201,900.0,760458
41204,240.0,760771
41204,240.0,760771
41214,300.0,760701
41214,300.0,760701
41218,480.0,760712
41218,480.0,760712
41218,480.0,760712
41218,480.0,760712
41218,480.0,760712
41226,240.0,760175
41226,240.0,760175
41226,240.0,760175
41231,480.0,762317
41235,450.0,760322
41235,450.0,760322
41250,180.0,760129
41250,180.0,760129
41250,180.0,760129
41253,720.0,760145
41253,720.0,760145
41253,720.0,760145
41254,240.0,760147
41254,240.0,760147
41255,2160.0,760151
