MSNO,total_dur,PostalCode,lat,long,address
40745,2880.0,530603,1.37143602784682,103.885845075469,603 HOUGANG AVENUE 4 SINGAPORE 530603
40748,240.0,530661,1.37402568701988,103.882804051972,661 HOUGANG AVENUE 4 SINGAPORE 530661
40752,2250.0,530301,1.36778751494032,103.89392989782,301 HOUGANG AVENUE 5 SINGAPORE 530301
40759,600.0,530526,1.37440740122225,103.89056383733,526 HOUGANG AVENUE 6 SINGAPORE 530526
40789,1200.0,530911,1.37893742257033,103.883855739335,911 HOUGANG STREET 91 HDB PUBLIC SHELTERS SINGAPORE 530911
40793,360.0,530929,1.37603204309398,103.881497888579,929 HOUGANG STREET 91 SINGAPORE 530929
40797,750.0,530943,1.37386961002325,103.880562714742,943 HOUGANG STREET 92 SINGAPORE 530943
40798,780.0,530129,1.35151849772357,103.887577515817,129 LORONG AH SOO SINGAPORE 530129
40803,1920.0,531473,1.37682525094625,103.900641038235,473A UPPER SERANGOON CRESCENT HOUGANG PARKEDGE SINGAPORE 531473
40807,360.0,533476,1.37794957092138,103.904346035596,476C UPPER SERANGOON VIEW HOUGANG CAPEVIEW SINGAPORE 533476
40823,240.0,823673,1.40722159434779,103.910591907295,673C EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 823673
40851,780.0,821102,1.39883318313425,103.905783553043,102A PUNGGOL FIELD SINGAPORE 821102
40893,420.0,543335,1.39844903339851,103.888155361419,335C ANCHORVALE CRESCENT ANCHORVALE COVE SINGAPORE 543335
40911,600.0,542333,1.39457895953303,103.891425367847,333B ANCHORVALE LINK ANCHORVALE ISLES SINGAPORE 542333
40921,660.0,541290,1.3960787618403,103.896727615807,290A COMPASSVALE CRESCENT PCF SPARKLETOTS PRESCHOOL @ SENGKANG CENTRAL 290A (CC) SINGAPORE 541290
40934,720.0,543259,1.3933884601797,103.898081358537,259C COMPASSVALE ROAD COMPASSVALE GARDENS SINGAPORE 543259
40940,120.0,541298,1.39516709775093,103.901789456173,298A COMPASSVALE STREET COMPASSVALE GREEN SINGAPORE 541298
40943,240.0,542223,1.38826763047915,103.897668214391,223B COMPASSVALE WALK COMPASSVALE VISTA SINGAPORE 542223
40945,2040.0,540232,1.39055587792288,103.900837998637,232 COMPASSVALE WALK COMPASSVALE PLAINS SINGAPORE 540232
40948,240.0,791404,1.38834821726981,103.873814853605,404A FERNVALE LANE FERN SPRING SINGAPORE 791404
40950,420.0,792413,1.38971066595273,103.878686138516,413B FERNVALE LINK CORAL VALE SINGAPORE 792413
40951,420.0,792415,1.38884403585275,103.880083476817,415B FERNVALE LINK FERNVALE RIVERBOW SINGAPORE 792415
