MSNO,total_dur,PostalCode
4119101,2160.0,730851
4119301,420.0,761347
4119301,420.0,761347
4119301,420.0,761347
4119301,420.0,761347
4119701,1080.0,760425
4119901,360.0,760440
4119901,360.0,760440
4119901,360.0,760440
4120201,810.0,760776
4120601,1755.0,763509
4120601,1755.0,763509
4120601,1755.0,763509
4120601,1755.0,763509
4120701,5475.0,760657
4120801,5400.0,760657
4120801,5400.0,760657
4120801,5400.0,760657
4121002,2160.0,763672
4121002,2160.0,763672
4121002,2160.0,763672
4121002,2160.0,763672
4121301,600.0,763675
4121301,600.0,763675
4121301,600.0,763675
4122101,240.0,760284
4122201,720.0,760285
4122501,360.0,760174
4122701,720.0,760249
4122901,2160.0,761316
4123601,9600.0,760107
4123701,225.0,760113
4123701,225.0,760113
4123801,1440.0,760113
4123801,1440.0,760113
4124001,3600.0,760241
4124101,1440.0,760242
4124101,1440.0,760242
4124201,1440.0,760257
4124501,4500.0,760353
4124601,8250.0,760354
4124601,8250.0,760354
4125201,360.0,760132
4125601,13500.0,760153
4125901,1440.0,760227
4126201,180.0,760263
4126301,540.0,762269
4126401,1440.0,762269
4126501,6000.0,760273
4126601,1485.0,760275
4126601,1485.0,760275
4126801,900.0,764333
4126801,900.0,764333
4127801,360.0,764513
4127801,360.0,764513
4127801,360.0,764513
4127801,360.0,764513
4127901,1080.0,760627
4127901,1080.0,760627
4127901,1080.0,760627
4128001,180.0,760633
4128001,180.0,760633
4128001,180.0,760633
4128301,270.0,760639
4128301,270.0,760639
4128301,270.0,760639
4128301,270.0,760639
4128301,270.0,760639
4128901,3000.0,760726
4129001,4320.0,760727
4129001,4320.0,760727
4129001,4320.0,760727
4129201,90.0,760760
4129701,27000.0,760870
4129801,600.0,650121
4129801,600.0,650121
4129801,600.0,650121
4130201,5400.0,650625
4130201,5400.0,650625
4130301,36600.0,650280
4130301,36600.0,650280
4130501,4750.0,650264
4130501,4750.0,650264
4130701,1040.0,650236
4130701,1040.0,650236
4130901,18720.0,650247
4130901,18720.0,650247
4130901,18720.0,650247
4131201,120.0,650207
4131301,2550.0,650209
4131301,2550.0,650209
4131801,840.0,651293
4131801,840.0,651293
4131901,6650.0,651293
4131901,6650.0,651293
4132201,6000.0,652290
4132301,5850.0,656290
4132301,5850.0,656290
4132501,1440.0,654289
4132501,1440.0,654289
4132501,1440.0,654289
4132601,7800.0,654289
4132601,7800.0,654289
4132601,7800.0,654289
4132801,210.0,650367
4132801,210.0,650367
4133001,3500.0,650338
4133101,1200.0,650350
4133601,720.0,650408
4133701,240.0,650410
4133701,240.0,650410
4133901,720.0,650384
4134001,82.5,650385
4134001,82.5,650385
4134501,3000.0,650112
4134701,3150.0,650138
4134701,3150.0,650138
4134801,300.0,650148
4135801,12000.0,651447
4137001,1560.0,670611
4137001,1560.0,670611
4137001,1560.0,670611
4137101,4320.0,670611
4137501,5880.0,670442
4137501,5880.0,670442
4138101,720.0,670164
4141101,12000.0,670480
4141402,2640.0,670605
4141701,4320.0,670626
4142201,1500.0,670631
4142601,450.0,680202
4142601,450.0,680202
4142601,450.0,680202
4142601,450.0,680202
4142801,1560.0,682809
4142901,360.0,682818
4143001,6240.0,682818
4143101,720.0,682296
4143301,3000.0,680285
4143301,3000.0,680285
4143301,3000.0,680285
4143301,3000.0,680285
4143501,2100.0,680405
4143501,2100.0,680405
4143501,2100.0,680405
4144201,600.0,680431
4144201,600.0,680431
4144401,120.0,680438
4145101,60.0,683487
4145201,300.0,684488
4145201,300.0,684488
4145401,1200.0,683490
4145401,1200.0,683490
4145601,360.0,681810
4145701,3120.0,682811
4145701,3120.0,682811
4145801,560.0,680208
4145901,450.0,680220
4145901,450.0,680220
4145901,450.0,680220
4146101,6240.0,680663
4146201,600.0,680664
4146501,13500.0,680671
4146601,150.0,680677
4146701,9000.0,680680
4147201,1950.0,680342
4147201,1950.0,680342
4147501,450.0,680555
4147701,3120.0,680618
4147801,45.0,680619
4148001,1200.0,680525
4148001,1200.0,680525
4148101,2400.0,680550
4148101,2400.0,680550
4148801,4680.0,680609
4148901,36000.0,680643
4149001,5760.0,680153
4149101,720.0,680163
4149201,1560.0,681801
4149301,6240.0,682801
4149501,1500.0,680005
4149601,1440.0,682166
4149701,150.0,680110
4149801,3120.0,680115
4150101,3120.0,680134
4150201,3000.0,680015
4150301,5760.0,680019
4150501,1040.0,120421
4150501,1040.0,120421
4150601,1500.0,120423
4150901,720.0,120349
4151001,1560.0,120356
4151101,3120.0,120364
4151201,2160.0,120429
4151201,2160.0,120429
4151201,2160.0,120429
4151301,12000.0,120435
4151401,90.0,121441
4151601,200.0,122445
4151601,200.0,122445
4151601,200.0,122445
4151701,400.0,120460
4151701,400.0,120460
4151801,540.0,120462
4151901,1710.0,120306
4151901,1710.0,120306
4152001,1950.0,120306
4152001,1950.0,120306
4152101,6240.0,120307
4152101,6240.0,120307
4152201,870.0,121311
4152201,870.0,121311
4152301,120.0,120315
4152701,2340.0,120346
4152801,2340.0,120377
4152801,2340.0,120377
4153101,1530.0,120206
4153101,1530.0,120206
4153201,60.0,121208
4153201,60.0,121208
4153201,60.0,121208
4153401,780.0,120601
4153501,18720.0,120604
4153501,18720.0,120604
4153701,4680.0,120707
4153701,4680.0,120707
4154001,2280.0,120730
4154001,2280.0,120730
4154501,4000.0,601318
4154601,12775.0,600331
4154701,12775.0,600331
4154801,9000.0,600109
4155101,3000.0,600214
4155601,4320.0,600228
4156201,43800.0,600323
4157001,16425.0,600372
4157101,14600.0,600374
4157201,1200.0,600415
4157201,1200.0,600415
4157201,1200.0,600415
4157301,10800.0,600021
4157601,9000.0,600034
4157601,9000.0,600034
4158301,5850.0,640187
4158501,6300.0,641217
4159201,4680.0,640261
