MSNO,total_dur,PostalCode,lat,long,address
4132201,6000.0,652290,1.34317855232948,103.756548505542,290A BUKIT BATOK STREET 24 SPRING VIEW SINGAPORE 652290
4132301,5850.0,656290,1.34337777770123,103.757174736965,290G BUKIT BATOK STREET 24 SPRING VIEW SINGAPORE 656290
4132501,1440.0,654289,1.34417029336796,103.75943138784,289E BUKIT BATOK STREET 25 NATURE VIEW SINGAPORE 654289
4132601,7800.0,654289,1.34417029336796,103.75943138784,289E BUKIT BATOK STREET 25 NATURE VIEW SINGAPORE 654289
4132801,210.0,650367,1.36033274170697,103.749691516072,367 BUKIT BATOK STREET 31 SINGAPORE 650367
4133001,3500.0,650338,1.36355249556515,103.750948082233,338 BUKIT BATOK STREET 34 SINGAPORE 650338
4133101,1200.0,650350,1.36143858458969,103.749152507272,350 BUKIT BATOK STREET 34 SINGAPORE 650350
4133601,720.0,650408,1.36481977758189,103.744989792545,408 BUKIT BATOK WEST AVENUE 4 SINGAPORE 650408
4133701,240.0,650410,1.36445863795592,103.744991611928,410 BUKIT BATOK WEST AVENUE 4 SINGAPORE 650410
4133901,720.0,650384,1.36293263679642,103.752194207305,384 BUKIT BATOK WEST AVENUE 5 SINGAPORE 650384
4134001,82.5,650385,1.36348353323119,103.752171420758,385 BUKIT BATOK WEST AVENUE 5 SINGAPORE 650385
4134501,3000.0,650112,1.34817353357762,103.745025213312,112 BUKIT BATOK WEST AVENUE 6 SINGAPORE 650112
4134701,3150.0,650138,1.35044711973729,103.744471903926,138 BUKIT BATOK WEST AVENUE 6 SINGAPORE 650138
4134801,300.0,650148,1.34927162953551,103.74359094183,148 BUKIT BATOK WEST AVENUE 6 PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK BLK 148 (KN) SINGAPORE 650148
4135801,12000.0,651447,1.35241777262812,103.739894249774,447A BUKIT BATOK WEST AVENUE 9 WEST VALLEY @ BUKIT BATOK SINGAPORE 651447
4137001,1560.0,670611,1.38387209680691,103.761859831513,611 BUKIT PANJANG RING ROAD SINGAPORE 670611
4137101,4320.0,670611,1.38387209680691,103.761859831513,611 BUKIT PANJANG RING ROAD SINGAPORE 670611
4137501,5880.0,670442,1.38225202314433,103.771235764544,442 FAJAR ROAD HDB PUBLIC SHELTERS SINGAPORE 670442
4138101,720.0,670164,1.37647171774719,103.764884247788,164 GANGSA ROAD SINGAPORE 670164
4141101,12000.0,670480,1.38969248582467,103.772378752183,480 SEGAR ROAD SEGAR GARDENS SINGAPORE 670480
4141402,2640.0,670605,1.38080486799859,103.761856783214,605 SENJA ROAD SINGAPORE 670605
4141701,4320.0,670626,1.38547480834709,103.759880549321,626 SENJA ROAD SENJA GRAND SINGAPORE 670626
4142201,1500.0,670631,1.38647806662619,103.760256469034,631 SENJA ROAD ICHIBAN MONTESSORI KIDDIE KOLLEGE PTE. LTD. SINGAPORE 670631
4142601,450.0,680202,1.3818369774308,103.74946480804,202 CHOA CHU KANG AVENUE 1 SINGAPORE 680202
4142801,1560.0,682809,1.37476188616122,103.744965122728,809B CHOA CHU KANG AVENUE 1 KEAT HONG AXIS SINGAPORE 682809
4142901,360.0,682818,1.37725874802106,103.748291851205,818B CHOA CHU KANG AVENUE 1 KEAT HONG MIRAGE SINGAPORE 682818
4143001,6240.0,682818,1.37725874802106,103.748291851205,818B CHOA CHU KANG AVENUE 1 KEAT HONG MIRAGE SINGAPORE 682818
4143101,720.0,682296,1.37684772581631,103.741509048162,296B CHOA CHU KANG AVENUE 2 SINGAPORE 682296
4143301,3000.0,680285,1.38012255733941,103.741885701698,285 CHOA CHU KANG AVENUE 3 SINGAPORE 680285
